"species_name","body_size","abdomen_length","hindwing","coloration_male","coloration_class","exuvia_length_min","exuvia_body_length","exuvia_caudal_lamellae_min","habitat","percher_flier","main_flight_period","sti","sti_sd","voltinism","overwintering_stage","oviposition_mode","larval_strategy","bern_convention","habitats_directive","endemic_europe","endemic_eu27","near_endemic_europe","redlist_2024_category","redlist_2024_criteria","eu27_redlist_2024_category","eu27_redlist_2024_criteria","population_trend","eoo_europe","aoo_europe","eoo_eu27","aoo_eu27"
"Coenagrion caerulescens","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion castellani","Dijkstra et al. 2023","Dijkstra et al. 2023","Dijkstra et al. 2023","Dijkstra et al. 2023","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","Dijkstra et al. 2023; De Knijf et al. 2024","Dijkstra et al. 2023","Dijkstra et al. 2023","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as Coenagrion mercuriale","literature information NA, but most likely same as Coenagrion mercuriale","literature information NA, but most likely same as Coenagrion mercuriale","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion ecornutum","Wildermuth & Martens 2019","NA","NA","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other northern Coenagrion species","literature information NA, but most likely same as other northern Coenagrion species","literature information NA, but most likely same as other northern Coenagrion species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion glaciale","Wildermuth & Martens 2019","NA","NA","Dijkstra et al. 2020","expert opinion De  Knijf","NA","NA","NA","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other northern Coenagrion species","literature information NA, but most likely same as other northern Coenagrion species","literature information NA, but most likely same as other northern Coenagrion species","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion hastulatum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion hylas","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion intermedium","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other southern Coenagrion species as C. caerulescens","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion johanssoni","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion lunulatum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion mercuriale","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion ornatum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion puella","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion pulchellum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Coenagrion scitulum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster bidentata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster boltonii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster helladica","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other Cordulegaster species","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster heros","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster insignis","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other Cordulegaster species","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster picta","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other Cordulegaster species","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulegaster trinacriae","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","literature information NA, but most likely same as other Cordulegaster species","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Cordulia aenea","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Crocothemis erythraea","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Diplacodes lefebvrii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","NA","NA","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Enallagma cyathigerum","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Epallage fatime","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard pers comm.","Brochard pers comm.","Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Epitheca bimaculata","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","not relevant","not relevant","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Erythromma lindenii","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
"Erythromma najas","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","Dijkstra et al. 2020","expert opinion De  Knijf","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","Brochard et al. 2012; Brochard pers comm.","De Knijf et al. 2024","Wildermuth & Martens 2019","Billqvist et al. 2023 (northern species); Boudot & Kalkman 2015; Sparrow et al. 2021; Smallshire & Swash 2020; www.observation.org","Termaat et al. 2019","Termaat et al. 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","Wildermuth & Martens 2019","expert opinion C. Brochard & G. De Knijf","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024","De Knijf et al. 2024"
